"DistrictName","DistrictCode","KinderTotal2018","KinderTotal2020"
"Truro",3000000,15,12
"Tyngsborough",3010000,76,116
"UP Academy Charter School of Dorchester (District)",35050000,64,59
"Up-Island Regional",7740000,43,32
"Uxbridge",3040000,113,127
"Wachusett",7750000,379,423
"Wakefield",3050000,259,261
"Wales",3060000,21,16
"Walpole",3070000,260,266
"Waltham",3080000,487,438
"Ware",3090000,77,86
"Wareham",3100000,222,198
"Watertown",3140000,242,221
"Wayland",3150000,208,202
"Webster",3160000,140,157
"Wellesley",3170000,338,327
"Wellfleet",3180000,14,19
"West Boylston",3220000,65,62
"West Bridgewater",3230000,79,95
"West Springfield",3320000,282,282
"Westborough",3210000,261,253
"Westfield",3250000,308,371
"Westford",3260000,277,273
"Westhampton",3270000,8,13
"Weston",3300000,117,128
"Westport",3310000,103,105
"Westwood",3350000,201,170
"Weymouth",3360000,383,360
"Whately",3370000,17,16
"Whitman-Hanson",7800000,247,238
"Williamsburg",3400000,16,19
"Wilmington",3420000,269,245
"Winchendon",3430000,110,95
"Winchester",3440000,304,333
"Winthrop",3460000,146,162
"Woburn",3470000,324,330
"Worcester",3480000,2110,2025
"Worthington",3490000,13,10
"Wrentham",3500000,130,109
