"year","region","abbreviation","totalballots","vap","vep"
"2014","indiana","IN","1387622","5017809","4803512"
"2014","iowa","IA","1142284","2384136","2269477"
"2014","kansas","KS","887023","2181529","2043387"
"2014","kentucky","KY","1459409","3404267","3250729"
"2014","louisiana","LA","1503975","3536724","3347248"
"2014","maine","ME","616996","1071220","1053009"
"2014","maryland","MD","1745104","4620229","4141802"
"2014","massachusetts","MA","2186789","5382729","4904417"
"2014","michigan","MI","3188956","7707406","7387039"
"2014","minnesota","MN","1992613","4177839","3918501"
"2014","mississippi","MS","631858","2260078","2173754"
"2014","missouri","MO","1509025","4669356","4476205"
"2014","montana","MT","373831","798918","786449"
"2014","nebraska","NE","552115","1414871","1329179"
"2014","nevada","NV","552546","2171523","1874884"
"2014","new hampshire","NH","495565","1067564","1031603"
"2014","new jersey","NJ","1955042","6872067","5954244"
"2014","new mexico","NM","519436","1587274","1451687"
"2014","new york","NY","3930310","15453917","13490728"
"2014","north carolina","NC","2939767","7681181","7131326"
"2014","north dakota","ND","255128","572498","558203"
"2014","ohio","OH","3149876","8968923","8702645"
"2014","oklahoma","OK","825607","2931636","2750573"
"2014","oregon","OR","1541782","3119674","2895581"
"2014","pennsylvania","PA","3535576","10088426","9685688"
"2014","rhode island","RI","329212","844183","779264"
"2014","south carolina","SC","1261611","3760446","3586795"
"2014","south dakota","SD","282291","640486","620256"
"2014","tennessee","TN","1430117","5061487","4807090"
"2014","texas","TX","4727208","19958796","16818166"
"2014","utah","UT","577973","2045779","1899842"
"2014","vermont","VT","202445","504200","493107"
"2014","virginia","VA","2194346","6462450","5947085"
"2014","washington","WA","2124330","5485062","4944389"
"2014","west virginia","WV","462864","1467174","1440331"
"2014","wisconsin","WI","2422248","4454913","4248825"
"2014","wyoming","WY","171153","444797","426832"
"2012","alabama","AL","2083309","3705982","3538042"
"2012","alaska","AK","301694","544269","512270"
"2012","arizona","AZ","2323579","4963741","4391282"
"2012","arkansas","AR","1078548","2244163","2111810"
"2012","california","CA","13202158","28871296","23638949"
"2012","colorado","CO","2596173","3980623","3675695"
"2012","connecticut","CT","1560640","2804156","2546075"
"2012","delaware","DE","417631","714081","662162"
"2012","district of columbia","DC","294254","531080","479566"
"2012","florida","FL","8538264","15367936","13484046"
"2012","georgia","GA","3919355","7441387","6593817"
"2012","hawaii","HI","437159","1091451","985494"
"2012","idaho","ID","666290","1172481","1089963"
"2012","illinois","IL","5279752","9838883","8913874"
"2012","indiana","IN","2663368","4959521","4752712"
"2012","iowa","IA","1589951","2356497","2251922"
"2012","kansas","KS","1182771","2162245","2030640"
"2012","kentucky","KY","1815843","3374444","3235034"
"2012","louisiana","LA","2014548","3495424","3310167"
