"DIST_NAME","SY","kindercount"
"Farmington River",2022,19
"Farmington River",2023,15
"Fitchburg",2018,418
"Fitchburg",2019,460
"Fitchburg",2020,419
"Fitchburg",2021,315
"Fitchburg",2022,382
"Fitchburg",2023,410
"Foxborough",2018,50
"Foxborough",2019,44
"Foxborough",2020,43
"Foxborough",2021,51
"Foxborough",2022,45
"Foxborough",2023,52
"Freetown-Lakeville",2018,105
"Freetown-Lakeville",2019,91
"Freetown-Lakeville",2020,106
"Freetown-Lakeville",2021,83
"Freetown-Lakeville",2022,98
"Freetown-Lakeville",2023,77
"Gardner",2018,205
"Gardner",2019,173
"Gardner",2020,176
"Gardner",2021,153
"Gardner",2022,179
"Gardner",2023,188
"Gateway",2018,71
"Gateway",2019,54
"Gateway",2020,49
"Gateway",2021,46
"Gateway",2022,49
"Gateway",2023,67
"Gill-Montague",2018,74
"Gill-Montague",2019,58
"Gill-Montague",2020,51
"Gill-Montague",2021,42
"Gill-Montague",2022,59
"Gill-Montague",2023,46
"Grafton",2018,217
"Grafton",2019,200
"Grafton",2020,237
"Grafton",2021,204
"Grafton",2022,228
"Grafton",2023,205
"Granby",2018,43
"Granby",2019,56
"Granby",2020,57
"Granby",2021,47
"Granby",2022,45
"Granby",2023,35
"Hadley",2018,24
"Hadley",2019,34
"Hadley",2020,29
"Hadley",2021,36
"Hadley",2022,22
"Hadley",2023,35
"Hamilton-Wenham",2018,44
"Hamilton-Wenham",2019,42
"Hamilton-Wenham",2020,64
"Hamilton-Wenham",2021,54
"Hamilton-Wenham",2022,45
"Hamilton-Wenham",2023,58
"Hampden-Wilbraham",2018,172
"Hampden-Wilbraham",2019,180
"Hampden-Wilbraham",2020,195
"Hampden-Wilbraham",2021,156
"Hampden-Wilbraham",2022,178
"Hampden-Wilbraham",2023,188
"Hancock",2018,4
"Hancock",2019,4
"Hancock",2020,11
"Hancock",2021,5
"Hancock",2022,5
"Hancock",2023,6
"Hanover",2018,58
"Hanover",2019,88
"Hanover",2020,198
"Hanover",2021,192
"Hanover",2022,175
"Hanover",2023,179
"Harvard",2018,64
"Harvard",2019,53
"Harvard",2020,58
"Harvard",2021,47
"Harvard",2022,80
"Harvard",2023,71
"Hatfield",2018,20
"Hatfield",2019,30
"Hatfield",2020,28
"Hatfield",2021,17
"Hatfield",2022,24
"Hatfield",2023,23
"Hawlemont",2018,25
"Hawlemont",2019,15
"Hawlemont",2020,16
"Hawlemont",2021,13
"Hawlemont",2022,11
"Hawlemont",2023,9
"Hingham",2018,61
"Hingham",2019,64
"Hingham",2020,81
