household_id,state,husband_age,husband_total_income,wife_age,wife_total_income
254862,Washington,NA,NA,69,30600
256117,Washington,57,125060,NA,NA
257523,Washington,49,125000,NA,NA
257980,Washington,NA,NA,54,0
258137,Oregon,NA,NA,65,10200
259336,Washington,NA,NA,83,4500
260277,Oregon,NA,NA,48,60000
262044,Washington,72,11400,NA,NA
263763,Washington,63,50000,NA,NA
263769,Oregon,NA,NA,28,30000
264545,Oregon,NA,NA,35,30000
265475,Oregon,32,65000,NA,NA
266423,Washington,60,110000,NA,NA
266631,Oregon,29,76000,NA,NA
266810,Washington,75,24000,NA,NA
267170,Washington,53,20000,NA,NA
268238,Oregon,NA,NA,55,30000
268643,Oregon,38,406000,NA,NA
268670,Washington,NA,NA,29,0
269859,Washington,54,65000,NA,NA
269887,Washington,NA,NA,56,125000
270152,Oregon,NA,NA,61,61000
270873,Washington,NA,NA,31,35000
273224,Washington,NA,NA,58,26000
273348,Washington,53,120000,NA,NA
277789,Oregon,74,1500,NA,NA
277827,Washington,73,44400,NA,NA
277837,Oregon,70,32540,NA,NA
279056,Oregon,NA,NA,36,32000
279080,Washington,NA,NA,28,48200
279304,Washington,65,10050,NA,NA
281281,Washington,NA,NA,54,43000
281692,Washington,NA,NA,76,24000
282985,Oregon,NA,NA,73,15550
283332,Washington,59,101890,NA,NA
283831,Oregon,78,55800,NA,NA
284057,Oregon,65,81000,NA,NA
284213,Washington,73,120400,NA,NA
285867,Oregon,63,64000,NA,NA
285942,Washington,60,59000,NA,NA
286380,Washington,59,480000,NA,NA
286792,Oregon,NA,NA,55,30000
287088,Washington,63,76300,NA,NA
287954,Washington,70,4100,NA,NA
287980,Washington,NA,NA,53,160000
288080,Washington,NA,NA,37,65000
288540,Oregon,78,15000,NA,NA
289068,Oregon,NA,NA,71,12000
289636,Oregon,NA,NA,57,24000
290823,Oregon,47,1000,NA,NA
291887,Oregon,24,30000,NA,NA
292677,Washington,NA,NA,53,8400
295340,Oregon,NA,NA,65,61000
296377,Washington,67,103000,NA,NA
297503,Oregon,NA,NA,75,48000
297954,Oregon,60,70000,NA,NA
298371,Oregon,NA,NA,49,120000
298402,Oregon,NA,NA,47,93000
298480,Washington,69,49500,NA,NA
299083,Washington,57,35000,NA,NA
299373,Oregon,NA,NA,66,58400
300216,Oregon,35,44400,NA,NA
301330,Oregon,NA,NA,71,34300
302134,Oregon,54,100000,NA,NA
302536,Oregon,51,40000,NA,NA
303118,Washington,36,10030,NA,NA
305936,Oregon,62,32500,NA,NA
306091,Washington,NA,NA,56,32000
306507,Washington,NA,NA,67,27600
308496,Washington,71,60020,NA,NA
309448,Washington,71,71000,NA,NA
310172,Washington,NA,NA,30,0
310287,Oregon,NA,NA,29,19000
310353,Oregon,NA,NA,60,0
310535,Washington,73,79000,NA,NA
310728,Washington,71,18400,NA,NA
312713,Oregon,50,68000,NA,NA
313297,Washington,38,25000,NA,NA
313954,Oregon,88,19800,77,12000
316945,Washington,NA,NA,49,32000
317110,Washington,NA,NA,60,27500
317357,Oregon,86,13720,NA,NA
317836,Oregon,73,38401,NA,NA
319756,Oregon,34,7000,NA,NA
320395,Oregon,55,42000,NA,NA
320576,Oregon,53,24700,NA,NA
320732,Washington,50,45001,NA,NA
321349,Oregon,88,99800,NA,NA
321705,Oregon,72,60100,NA,NA
321871,Washington,NA,NA,25,20000
322089,Washington,NA,NA,36,30000
322899,Oregon,76,12000,69,16000
323802,Oregon,84,26700,NA,NA
323946,Oregon,45,48800,NA,NA
325783,Washington,NA,NA,77,16700
327202,Oregon,61,120000,NA,NA
327311,Oregon,NA,NA,60,28300
327777,Oregon,56,10000,NA,NA
329027,Washington,NA,NA,39,6900
331541,Washington,NA,NA,51,134000
331806,Oregon,68,43500,NA,NA
331936,Washington,NA,NA,67,24000
332007,Oregon,NA,NA,62,0
332624,Washington,NA,NA,62,0
332937,Washington,61,30000,NA,NA
334684,Oregon,31,57000,NA,NA
336138,Oregon,37,100000,NA,NA
337977,Oregon,47,83400,NA,NA
338803,Washington,59,100000,NA,NA
339142,Oregon,63,34500,NA,NA
340411,Washington,35,105000,NA,NA
340487,Oregon,NA,NA,54,59000
340989,Oregon,NA,NA,44,78000
341959,Washington,60,74040,NA,NA
342380,Washington,NA,NA,72,5900
343199,Oregon,52,26000,NA,NA
343617,Washington,NA,NA,44,100
344666,Washington,NA,NA,36,9300
345056,Oregon,52,95000,NA,NA
345584,Washington,NA,NA,68,25800
346043,Oregon,43,50000,NA,NA
346162,Oregon,NA,NA,47,15200
346744,Oregon,NA,NA,66,7400
347987,Washington,80,30600,NA,NA
348073,Oregon,44,406000,43,45000
349321,Oregon,NA,NA,70,75600
350042,Washington,38,23300,NA,NA
350645,Oregon,76,24400,NA,NA
352054,Oregon,NA,NA,59,31000
352477,Oregon,51,60570,NA,NA
352904,Oregon,NA,NA,31,4600
354382,Oregon,63,661000,NA,NA
356741,Washington,NA,NA,46,3000
357146,Oregon,48,86000,NA,NA
360714,Oregon,69,42200,NA,NA
361066,Oregon,63,50000,NA,NA
363149,Washington,55,72000,NA,NA
363402,Oregon,NA,NA,61,19000
365231,Washington,NA,NA,32,50000
365242,Oregon,NA,NA,46,71400
365507,Oregon,NA,NA,65,6900
365563,Washington,58,38000,NA,NA
366632,Oregon,NA,NA,27,0
366933,Washington,61,91000,NA,NA
367082,Oregon,NA,NA,54,30500
367527,Oregon,NA,NA,65,12000
368663,Oregon,NA,NA,61,2500
368822,Washington,NA,NA,48,24500
368920,Washington,NA,NA,57,76000
369647,Oregon,60,0,NA,NA
372085,Oregon,NA,NA,71,25740
372586,Oregon,41,85000,NA,NA
372755,Oregon,NA,NA,59,4100
373496,Washington,40,200000,NA,NA
373938,Washington,75,59500,NA,NA
374670,Oregon,79,13200,NA,NA
375268,Washington,NA,NA,49,8800
375804,Washington,NA,NA,31,29000
376139,Washington,NA,NA,65,0
376919,Oregon,65,57800,NA,NA
377394,Oregon,47,30000,NA,NA
378371,Washington,53,56000,NA,NA
380130,Washington,24,57400,NA,NA
380559,Oregon,48,0,NA,NA
382169,Washington,NA,NA,45,39000
382462,Washington,NA,NA,55,90000
383692,Oregon,79,85700,NA,NA
384002,Oregon,NA,NA,47,30000
384352,Oregon,NA,NA,53,10000
384937,Washington,85,47000,NA,NA
385885,Oregon,55,70000,NA,NA
386871,Washington,NA,NA,23,20000
387250,Washington,57,75000,NA,NA
387603,Washington,NA,NA,24,3000
388557,Washington,NA,NA,44,21600
390200,Washington,NA,NA,29,18000
390351,Oregon,83,10700,NA,NA
390945,Washington,24,8000,NA,NA
391360,Washington,NA,NA,40,80000
392344,Washington,40,90000,NA,NA
395625,Oregon,35,180000,NA,NA
395743,Oregon,NA,NA,43,33700
395918,Oregon,47,12000,NA,NA
396948,Oregon,35,38500,NA,NA
397254,Washington,30,48000,NA,NA
397697,Washington,61,507000,NA,NA
398937,Washington,79,21600,NA,NA
399216,Oregon,60,60000,NA,NA
400066,Oregon,NA,NA,38,75000
401439,Oregon,73,12000,NA,NA
402080,Washington,43,78200,NA,NA
407433,Washington,NA,NA,39,100000
407655,Oregon,NA,NA,49,6000
407775,Washington,NA,NA,62,73000
407824,Washington,61,24000,NA,NA
409866,Oregon,NA,NA,62,21200
410765,Washington,54,55000,NA,NA
411567,Washington,NA,NA,68,93000
412092,Oregon,67,116100,NA,NA
412972,Oregon,42,40000,NA,NA
413836,Washington,31,30000,NA,NA
415382,Oregon,NA,NA,42,50000
415445,Washington,84,27800,NA,NA
417496,Oregon,NA,NA,38,80600
417705,Washington,56,40000,NA,NA
417766,Washington,NA,NA,74,7500
418149,Oregon,NA,NA,59,105000
419047,Washington,NA,NA,50,0
420478,Washington,44,145000,NA,NA
421630,Oregon,NA,NA,42,0
425907,Oregon,69,54300,NA,NA
425931,Washington,NA,NA,39,125000
426637,Oregon,33,68000,NA,NA
427163,Oregon,NA,NA,68,11700
427465,Washington,NA,NA,52,40000
428223,Washington,NA,NA,48,2600
429063,Oregon,57,120000,NA,NA
429081,Oregon,NA,NA,37,39400
429800,Washington,NA,NA,51,134000
431330,Oregon,71,35550,NA,NA
432752,Oregon,NA,NA,53,0
432756,Oregon,NA,NA,51,29000
433617,Oregon,NA,NA,64,29200
433819,Washington,43,15000,NA,NA
437688,Washington,NA,NA,63,18700
437841,Oregon,NA,NA,83,6500
437933,Washington,NA,NA,72,3000
438369,Washington,65,13000,NA,NA
439875,Washington,23,34000,NA,NA
440218,Washington,60,180000,NA,NA
441290,Oregon,69,88000,NA,NA
441965,Washington,NA,NA,63,6000
442906,Washington,76,19200,NA,NA
443321,Oregon,63,55000,NA,NA
444288,Washington,NA,NA,74,1
444462,Washington,NA,NA,62,7800
445491,Oregon,47,40000,NA,NA
445754,Oregon,NA,NA,32,56000
447599,Washington,NA,NA,57,0
447990,Washington,45,125000,NA,NA
448307,Oregon,NA,NA,57,30200
448702,Washington,NA,NA,51,0
449599,Washington,30,31000,NA,NA
449984,Oregon,68,43700,NA,NA
450252,Oregon,NA,NA,58,40000
451550,Oregon,NA,NA,70,79300
452146,Oregon,NA,NA,44,58000
452343,Washington,NA,NA,51,0
453096,Washington,NA,NA,62,53600
453470,Oregon,69,1500,NA,NA
454462,Oregon,41,85500,NA,NA
454896,Oregon,69,87600,NA,NA
456257,Oregon,59,55000,55,37000
457131,Oregon,37,96000,NA,NA
457140,Oregon,40,43200,NA,NA
459320,Oregon,72,15200,NA,NA
459571,Washington,NA,NA,29,14100
460681,Washington,NA,NA,56,15900
460843,Oregon,42,10000,NA,NA
461275,Washington,NA,NA,60,35000
461740,Washington,NA,NA,55,98000
461772,Oregon,NA,NA,32,95000
461851,Washington,NA,NA,59,52000
