"year","region","abbreviation","totalballots","vap","vep"
"2002","south carolina","SC","","3100548","2971409"
"2002","south dakota","SD","340407","564305","553910"
"2002","tennessee","TN","","4393757","4229199"
"2002","texas","TX","4552059","15718593","13332110"
"2002","virginia","VA","1661915","5536511","5144877"
"2002","washington","WA","1808720","4553733","4119129"
"2002","wisconsin","WI","","4094028","3926822"
"2002","wyoming","WY","188028","376121","365426"
"2000","alabama","AL","","3334576","3232759"
"2000","alaska","AK","287825","440296","418238"
"2000","arkansas","AR","","2001774","1920954"
"2000","california","CA","11142843","24867252","19911561"
"2000","colorado","CO","","3246521","3006671"
"2000","connecticut","CT","1474103","2575243","2361236"
"2000","delaware","DE","","594256","553554"
"2000","district of columbia","DC","","458301","404098"
"2000","florida","FL","6138765","12475387","10952576"
"2000","illinois","IL","4932192","9208908","8362452"
"2000","indiana","IN","2246348","4527523","4403265"
"2000","iowa","IA","","2199529","2125448"
"2000","kansas","KS","1092716","1983933","1894387"
"2000","maine","ME","","979314","964624"
"2000","maryland","MD","2036455","3972224","3640036"
"2000","massachusetts","MA","2736006","4870470","4480832"
"2000","minnesota","MN","2458303","3662005","3459248"
"2000","nebraska","NE","707223","1266496","1208322"
"2000","nevada","NV","613360","1523209","1323256"
"2000","new hampshire","NH","578656","934176","906696"
"2000","new mexico","NM","615607","1318129","1221526"
"2000","new york","NY","6960215","14344348","12394560"
"2000","north carolina","NC","3015964","6143214","5772767"
"2000","ohio","OH","4795989","8487355","8288750"
"2000","oklahoma","OK","","2568304","2453332"
"2000","oregon","OR","1559215","2595354","2418671"
"2000","rhode island","RI","412074","804417","734834"
"2000","south carolina","SC","1433533","3025380","2910350"
"2000","south dakota","SD","322159","554875","545601"
"2000","tennessee","TN","2100241","4316391","4170830"
"2000","texas","TX","6407637","15138468","12913321"
"2000","virginia","VA","2789808","5389008","5034930"
"2000","washington","WA","2517028","4419907","4022625"
"2000","wisconsin","WI","","4016401","3862851"
"2000","wyoming","WY","221685","366639","356887"
"1998","alabama","AL","","3293917","3203009"
"1998","alaska","AK","227156","429317","408867"
"1998","arkansas","AR","","1951741","1882692"
"1998","california","CA","8617649","23980067","19273427"
"1998","colorado","CO","","3085075","2880455"
"1998","connecticut","CT","1022453","2544417","2340162"
"1998","delaware","DE","","576849","541091"
"1998","district of columbia","DC","137523","452668","398478"
"1998","florida","FL","4070262","12001902","10586018"
"1998","illinois","IL","3541379","9070725","8283875"
"1998","indiana","IN","1618689","4457578","4349229"
"1998","iowa","IA","973032","2176940","2112412"
"1998","kansas","KS","743288","1955236","1872595"
"1998","maine","ME","","957916","943547"
"1998","maryland","MD","1556994","3879108","3569236"
"1998","massachusetts","MA","1935277","4793966","4429625"
"1998","minnesota","MN","2105343","3555108","3378813"
"1998","nebraska","NE","581775","1247656","1197662"
"1998","nevada","NV","440042","1402851","1232759"
"1998","new hampshire","NH","330555","903630","878870"
"1998","new mexico","NM","517355","1286104","1199553"
"1998","new york","NY","4989877","14139223","12256410"
"1998","north carolina","NC","","5948653","5626275"
"1998","ohio","OH","3534782","8424249","8241011"
"1998","oklahoma","OK","","2518285","2415839"
"1998","oregon","OR","1160400","2526500","2371036"
"1998","rhode island","RI","309835","790726","724136"
"1998","south carolina","SC","1092430","2931120","2826020"
"1998","south dakota","SD","266355","543074","534678"
"1998","tennessee","TN","1026017","4217608","4092668"
"1998","texas","TX","","14504988","12491285"
"1998","virginia","VA","","5222121","4898307"
"1998","washington","WA","1939421","4294765","3929294"
"1998","wisconsin","WI","","3945060","3803258"
"1998","wyoming","WY","178401","359119","350159"
"1996","alabama","AL","","3227688","3143297"
"1996","alaska","AK","245212","423702","404209"
"1996","arkansas","AR","","1903094","1845189"
