state,age,sex,total_income,health_insurance,transport
Washington,39,male,101200,with,Bicycle
Oregon,59,male,8300,with,"Car, truck, or van"
Washington,66,female,21600,with,NA
Oregon,28,female,0,with,NA
Oregon,66,male,74700,with,NA
Washington,59,male,50000,with,"Car, truck, or van"
Washington,35,female,0,with,NA
Washington,27,male,36000,with,Other
Washington,54,male,115000,with,"Car, truck, or van"
Oregon,25,male,35000,with,"Car, truck, or van"
Washington,27,female,42000,with,"Car, truck, or van"
Washington,37,male,0,without,NA
Washington,68,female,0,with,NA
Washington,45,male,50000,with,"Car, truck, or van"
Washington,78,female,1400,with,NA
Washington,56,male,47000,with,"Car, truck, or van"
Washington,62,female,5000,with,"Car, truck, or van"
Washington,31,male,35501,with,"Car, truck, or van"
Oregon,52,male,86000,with,"Car, truck, or van"
Washington,81,male,43000,with,NA
Oregon,75,female,20000,with,NA
Oregon,56,male,130000,with,"Car, truck, or van"
Washington,57,female,16800,with,NA
Washington,37,male,40210,with,NA
Washington,48,male,50000,with,"Car, truck, or van"
Washington,34,male,38000,with,"Car, truck, or van"
Washington,56,male,16100,with,NA
Washington,52,male,40000,with,"Car, truck, or van"
Washington,25,male,50000,with,"Car, truck, or van"
Washington,45,female,57000,with,Walked
Oregon,51,male,40000,with,"Car, truck, or van"
Washington,52,male,102000,with,NA
Washington,60,female,89300,with,"Car, truck, or van"
Washington,78,female,7300,with,NA
Washington,33,male,105000,with,"Car, truck, or van"
Washington,37,male,100000,with,Worked at home
Washington,57,male,40600,with,NA
Oregon,63,male,82920,with,"Car, truck, or van"
Washington,61,male,108000,with,"Car, truck, or van"
Oregon,66,male,20000,with,NA
Oregon,28,female,38000,with,"Car, truck, or van"
Washington,70,female,48200,with,Worked at home
Washington,27,female,74000,with,"Car, truck, or van"
Washington,40,male,46400,with,"Car, truck, or van"
Oregon,56,female,80500,with,"Car, truck, or van"
Washington,60,female,51400,with,"Car, truck, or van"
Oregon,64,female,15000,with,NA
Washington,66,male,45700,with,"Car, truck, or van"
Oregon,52,male,18000,without,NA
Washington,74,male,27700,with,NA
Washington,49,female,12000,with,"Car, truck, or van"
Washington,32,male,125600,with,Bus or trolley bus
Oregon,39,female,72000,with,"Car, truck, or van"
Oregon,76,male,17300,with,NA
Washington,80,female,29500,with,NA
Oregon,61,female,28000,with,"Car, truck, or van"
Oregon,52,female,97000,with,"Car, truck, or van"
Oregon,69,female,98200,with,"Car, truck, or van"
Washington,64,female,64000,with,"Car, truck, or van"
Washington,25,female,36000,with,"Car, truck, or van"
Washington,78,female,68000,with,NA
Oregon,65,female,37900,with,NA
Oregon,39,female,4500,with,Walked
Washington,36,male,58000,without,"Car, truck, or van"
Washington,70,male,75000,with,"Car, truck, or van"
Oregon,61,male,49400,with,"Car, truck, or van"
Oregon,55,male,17000,without,Worked at home
Oregon,62,male,13300,with,NA
Washington,53,female,127500,with,"Car, truck, or van"
Oregon,59,male,70000,with,"Car, truck, or van"
Oregon,67,male,177000,with,"Car, truck, or van"
Oregon,69,male,61100,with,NA
Washington,69,male,61150,with,"Car, truck, or van"
Oregon,38,male,36000,with,Bicycle
Oregon,80,female,34900,with,NA
Washington,53,male,60000,with,"Car, truck, or van"
Washington,60,male,19000,with,"Car, truck, or van"
Washington,47,female,90000,with,NA
Oregon,89,male,13100,with,NA
Oregon,28,female,41700,with,"Car, truck, or van"
Washington,65,female,5000,without,NA
Washington,34,female,50000,with,Bicycle
Washington,61,male,100000,with,Other
Washington,68,male,174000,with,Worked at home
Washington,48,male,19200,with,"Car, truck, or van"
Oregon,38,male,26800,with,"Car, truck, or van"
Oregon,63,female,29100,with,"Car, truck, or van"
Oregon,65,female,17100,with,NA
Oregon,26,female,16000,with,"Car, truck, or van"
Washington,30,female,22000,with,"Car, truck, or van"
Oregon,71,male,34000,with,NA
Washington,71,male,77600,with,"Car, truck, or van"
Washington,71,male,132300,with,Walked
Oregon,75,female,41000,with,NA
Oregon,64,female,57000,with,"Car, truck, or van"
Washington,48,male,201000,with,"Car, truck, or van"
Washington,75,male,48400,with,NA
Oregon,78,male,40200,with,NA
Washington,72,male,20004,with,NA
Washington,68,female,54930,with,"Car, truck, or van"
Washington,68,female,45100,with,NA
Washington,32,male,74000,with,Bus or trolley bus
Washington,59,female,2400,with,NA
Washington,64,male,63600,with,NA
Washington,77,male,82300,with,NA
Washington,59,male,170000,with,Bus or trolley bus
Washington,59,male,60000,with,"Car, truck, or van"
Washington,41,male,20000,with,"Car, truck, or van"
Washington,59,female,30000,with,"Car, truck, or van"
Oregon,47,female,39600,with,"Car, truck, or van"
Washington,52,female,88000,with,"Car, truck, or van"
Oregon,59,male,7100,with,NA
Washington,35,male,170000,with,Other
Washington,46,male,33000,with,"Car, truck, or van"
Washington,20,male,21200,with,"Car, truck, or van"
Oregon,51,male,15000,with,NA
Oregon,66,male,63100,with,NA
Washington,59,female,19000,with,NA
Washington,53,male,84000,with,Worked at home
Oregon,65,female,117400,with,"Car, truck, or van"
Oregon,24,male,22000,with,"Car, truck, or van"
Washington,59,female,10900,with,NA
Washington,31,female,27000,with,Walked
Washington,59,male,87460,with,"Car, truck, or van"
Oregon,58,female,0,with,NA
Washington,83,female,15830,with,NA
Washington,79,male,7080,with,NA
Washington,81,female,8000,with,NA
Washington,48,male,28880,with,NA
Washington,74,male,30100,with,NA
Washington,51,female,34100,with,Bus or trolley bus
Washington,56,female,35000,with,"Car, truck, or van"
Washington,58,male,52050,with,NA
Washington,45,female,40500,with,Worked at home
Oregon,75,male,112000,with,NA
Washington,52,male,14400,with,Walked
Washington,53,male,40200,with,"Car, truck, or van"
Oregon,59,female,2090,with,Worked at home
Washington,54,male,487000,with,"Car, truck, or van"
Washington,47,female,41000,with,Other
Oregon,87,male,139900,with,NA
Washington,29,female,13700,with,NA
Washington,75,female,66400,with,NA
Oregon,35,female,45000,with,Other
Washington,64,male,46800,with,NA
Washington,47,male,265400,with,Worked at home
Washington,54,male,100000,with,"Car, truck, or van"
Oregon,35,female,23000,with,"Car, truck, or van"
Oregon,55,male,90000,with,"Car, truck, or van"
Washington,44,male,210000,with,"Car, truck, or van"
Washington,53,male,60000,with,"Car, truck, or van"
Oregon,69,female,25000,with,NA
Oregon,51,male,113000,with,"Car, truck, or van"
Oregon,23,male,1000,with,Walked
Washington,75,female,80600,with,NA
Washington,66,male,50500,with,NA
Washington,63,male,21700,with,NA
Washington,62,female,19500,with,"Car, truck, or van"
Oregon,63,female,85000,with,"Car, truck, or van"
Washington,28,female,45000,with,"Car, truck, or van"
Oregon,59,male,163000,with,Worked at home
Oregon,60,female,0,with,NA
Washington,33,male,62000,with,Walked
Oregon,76,male,24000,with,NA
Oregon,66,male,28700,with,NA
Oregon,53,male,123060,with,"Car, truck, or van"
Washington,53,male,135000,with,"Car, truck, or van"
Washington,39,female,4000,without,"Car, truck, or van"
Washington,45,female,24000,with,NA
Washington,51,male,61600,with,"Car, truck, or van"
Washington,40,male,70000,with,"Car, truck, or van"
Washington,66,female,870,with,NA
Washington,40,female,1600,with,NA
Washington,29,female,68000,with,"Car, truck, or van"
Washington,68,female,9400,with,NA
Oregon,38,male,103040,with,Walked
Oregon,29,female,16800,with,"Car, truck, or van"
Washington,62,female,55000,with,"Car, truck, or van"
Washington,69,male,19000,with,Worked at home
Washington,38,female,60000,with,"Car, truck, or van"
Washington,20,female,15000,with,"Car, truck, or van"
Washington,47,male,98000,with,"Car, truck, or van"
Washington,82,male,46200,with,NA
Oregon,47,female,16900,with,"Car, truck, or van"
Oregon,68,male,60900,with,NA
Oregon,65,male,66000,with,NA
Washington,32,female,110000,with,"Car, truck, or van"
Washington,54,male,163600,with,"Car, truck, or van"
Washington,35,female,6000,with,"Car, truck, or van"
Oregon,27,female,48000,with,"Car, truck, or van"
Washington,77,male,14200,with,NA
Washington,48,female,120000,with,"Car, truck, or van"
Oregon,73,male,54300,with,NA
Washington,76,female,14260,with,NA
Oregon,55,male,38000,with,"Car, truck, or van"
Washington,29,male,140000,with,"Car, truck, or van"
Washington,63,male,27420,with,"Car, truck, or van"
Washington,44,female,0,with,NA
Washington,49,male,74000,with,"Car, truck, or van"
Washington,67,female,14100,with,"Car, truck, or van"
Oregon,28,female,20300,with,Walked
Washington,66,male,109030,with,Walked
Oregon,69,male,205700,with,"Car, truck, or van"
Washington,37,female,60000,with,NA
Washington,70,female,13200,with,NA
Washington,34,female,75000,with,"Car, truck, or van"
Washington,44,male,45000,with,"Car, truck, or van"
Washington,45,male,77300,without,"Car, truck, or van"
Oregon,31,male,32000,with,"Car, truck, or van"
Washington,34,male,2000,with,NA
Oregon,78,female,5800,with,NA
Oregon,45,female,45000,with,Walked
Oregon,58,female,100250,with,"Car, truck, or van"
Washington,59,female,44,with,NA
Washington,85,female,25800,with,NA
Washington,77,female,11400,with,NA
Washington,41,male,30000,with,"Car, truck, or van"
Washington,35,male,60000,without,"Car, truck, or van"
Washington,38,male,25000,without,"Car, truck, or van"
Oregon,55,male,42000,with,"Car, truck, or van"
Oregon,44,female,77000,with,"Car, truck, or van"
Washington,75,female,19200,with,NA
Oregon,29,male,74000,with,"Car, truck, or van"
Oregon,66,male,13400,with,NA
Washington,34,female,0,with,NA
Oregon,33,male,24000,with,"Car, truck, or van"
Washington,76,female,17700,with,NA
Washington,55,male,98100,with,"Car, truck, or van"
Washington,50,male,2300,without,"Car, truck, or van"
Oregon,74,male,26100,with,NA
Oregon,33,female,45000,with,Other
Washington,62,male,20000,with,Worked at home
Oregon,94,female,14800,with,NA
Washington,53,female,15000,with,"Car, truck, or van"
Washington,64,female,0,with,NA
Oregon,57,female,9000,with,NA
Washington,64,female,26700,with,NA
Washington,66,male,15200,with,NA
Washington,56,female,36200,with,"Car, truck, or van"
Oregon,27,male,13000,with,Walked
Oregon,38,female,14000,with,"Car, truck, or van"
Oregon,69,female,59300,with,NA
Washington,23,male,50000,with,Bus or trolley bus
Washington,30,female,32000,with,"Car, truck, or van"
Washington,29,female,64000,with,"Car, truck, or van"
Oregon,65,female,7800,with,NA
Oregon,63,male,120000,with,"Car, truck, or van"
Oregon,56,female,2000,with,NA
Washington,94,female,22400,with,NA
Oregon,54,male,50000,with,"Car, truck, or van"
Oregon,34,male,12000,with,"Car, truck, or van"
Washington,56,male,60000,with,"Car, truck, or van"
Washington,28,male,50000,without,"Car, truck, or van"
Washington,25,female,2500,with,NA
Oregon,59,female,58000,with,"Car, truck, or van"
Washington,25,male,200000,with,Bus or trolley bus
Washington,45,female,64600,with,"Car, truck, or van"
Oregon,46,female,223000,with,Worked at home
Washington,45,female,13000,with,"Car, truck, or van"
Oregon,68,male,18030,with,NA
Oregon,33,female,510,with,NA
Oregon,94,female,14400,with,NA
Oregon,58,female,11890,with,NA
Washington,25,female,50000,with,Bus or trolley bus
Washington,35,male,3500,with,NA
Oregon,72,female,61800,with,NA
Oregon,57,female,411000,with,NA
Oregon,36,male,14900,with,NA
Washington,94,female,41700,with,NA
Oregon,82,male,46550,with,NA
Oregon,56,female,16300,with,Other
Oregon,33,female,12700,with,"Car, truck, or van"
Oregon,32,male,45000,with,"Car, truck, or van"
Washington,60,male,60000,with,"Car, truck, or van"
Oregon,40,male,100001,with,Bus or trolley bus
Washington,72,female,15600,with,NA
Washington,55,female,7100,with,NA
Oregon,26,female,36500,with,"Car, truck, or van"
Oregon,53,male,68000,with,"Car, truck, or van"
Oregon,70,male,38350,with,"Car, truck, or van"
Washington,25,male,34000,with,NA
Oregon,42,male,78040,with,"Car, truck, or van"
Washington,71,male,128800,with,NA
Washington,80,male,21100,with,NA
Washington,76,male,24200,with,NA
Washington,32,male,42100,with,"Car, truck, or van"
Washington,50,male,81600,with,NA
Washington,68,male,53600,with,NA
Washington,35,female,55000,with,Other
Washington,68,female,30000,with,NA
Washington,56,male,17290,with,NA
Washington,53,male,37100,with,"Car, truck, or van"
Washington,69,female,123400,with,"Car, truck, or van"
Washington,71,male,42550,with,"Car, truck, or van"
Washington,37,male,82300,with,"Car, truck, or van"
Washington,84,male,26200,with,"Car, truck, or van"
Washington,35,female,47000,with,"Car, truck, or van"
Washington,35,male,44000,with,"Car, truck, or van"
Washington,64,male,23000,without,"Car, truck, or van"
Washington,73,male,32000,with,NA
Oregon,51,male,51000,with,"Car, truck, or van"
Washington,45,male,70000,with,"Car, truck, or van"
