"","DistrictName","DistrictCode","KinderTotal2020"
"294","West Bridgewater",3230000,95
"295","West Springfield",3320000,282
"296","Westborough",3210000,253
"297","Westfield",3250000,371
"298","Westford",3260000,273
"299","Westhampton",3270000,13
"300","Weston",3300000,128
"301","Westport",3310000,105
"302","Westwood",3350000,170
"303","Weymouth",3360000,360
"304","Whately",3370000,16
"305","Whitman-Hanson",7800000,238
"306","Williamsburg",3400000,19
"307","Wilmington",3420000,245
"308","Winchendon",3430000,95
"309","Winchester",3440000,333
"310","Winthrop",3460000,162
"311","Woburn",3470000,330
"312","Worcester",3480000,2025
"313","Worthington",3490000,10
"314","Wrentham",3500000,109
"315","",NA,NA
