household_id,state,person,age,total_income
115325,Oregon,wife,39,45000
115951,Oregon,husband,73,24080
115951,Oregon,wife,74,12000
116590,Oregon,husband,62,406000
116590,Oregon,wife,62,15800
118080,Oregon,husband,81,13100
118080,Oregon,wife,78,3600
118265,Oregon,husband,63,19500
118265,Oregon,wife,60,20000
118279,Oregon,husband,71,34000
118279,Oregon,wife,64,0
118522,Oregon,husband,34,80000
118522,Oregon,wife,34,70000
118893,Oregon,husband,32,120000
118893,Oregon,wife,39,0
119478,Oregon,husband,65,47000
119478,Oregon,wife,63,67000
119819,Washington,husband,43,477000
119819,Washington,wife,43,9000
120758,Washington,husband,68,19200
120758,Washington,wife,64,10300
123065,Washington,husband,39,102000
123065,Washington,wife,35,11200
124147,Washington,husband,49,37000
124147,Washington,wife,51,0
124425,Washington,husband,76,34800
124425,Washington,wife,73,9000
124572,Washington,husband,68,74080
124572,Washington,wife,68,40430
124610,Oregon,husband,73,22000
124610,Oregon,wife,68,15600
125483,Oregon,husband,44,53000
125483,Oregon,wife,46,70000
126823,Oregon,husband,33,255000
126823,Oregon,wife,33,0
128663,Oregon,husband,44,38000
128663,Oregon,wife,45,40000
129131,Oregon,husband,82,58000
129131,Oregon,wife,70,60500
130191,Washington,husband,52,60000
130191,Washington,wife,50,32000
130845,Oregon,husband,31,88000
130845,Oregon,wife,30,20000
131673,Oregon,husband,59,21600
131673,Oregon,wife,68,18600
131963,Washington,husband,65,110000
131963,Washington,wife,58,12000
131997,Washington,husband,48,95000
131997,Washington,wife,52,55200
132934,Washington,husband,36,60000
132934,Washington,wife,33,40000
133383,Washington,husband,34,75000
133383,Washington,wife,37,2000
133416,Washington,husband,58,65000
133416,Washington,wife,56,41000
136252,Oregon,husband,65,56000
136252,Oregon,wife,63,2400
136288,Oregon,husband,50,22000
136288,Oregon,wife,45,4000
138619,Washington,husband,32,80000
138619,Washington,wife,32,35000
140586,Oregon,husband,58,6000
140586,Oregon,wife,57,6000
141455,Oregon,husband,25,20000
141455,Oregon,wife,25,20000
141786,Washington,husband,48,201000
141786,Washington,wife,44,1500
142273,Oregon,husband,63,5000
142273,Oregon,wife,59,0
143878,Washington,husband,69,84100
143878,Washington,wife,69,3900
144429,Oregon,husband,52,79000
144429,Oregon,wife,52,20000
144855,Oregon,husband,37,93000
144855,Oregon,wife,38,0
144961,Oregon,husband,47,90000
144961,Oregon,wife,46,30000
145071,Oregon,husband,58,18000
145071,Oregon,wife,50,38000
145170,Washington,husband,58,65800
145170,Washington,wife,58,8000
145704,Oregon,husband,60,23000
145704,Oregon,wife,51,28000
145886,Oregon,husband,36,55000
145886,Oregon,wife,35,40000
146452,Washington,husband,67,16200
146452,Washington,wife,71,13600
147126,Washington,husband,78,156600
147126,Washington,wife,72,12150
148874,Oregon,husband,58,185300
148874,Oregon,wife,59,76010
148886,Washington,husband,64,77000
148886,Washington,wife,63,5300
149516,Washington,husband,60,60000
149516,Washington,wife,55,4
151116,Washington,husband,58,36000
151116,Washington,wife,50,16000
152819,Washington,husband,45,102900
152819,Washington,wife,37,36000
153120,Oregon,husband,26,36000
153120,Oregon,wife,25,23500
153613,Washington,husband,63,64800
153613,Washington,wife,63,35700
154758,Oregon,husband,45,50400
154758,Oregon,wife,36,60000
155008,Oregon,husband,41,39800
155008,Oregon,wife,28,30000
155121,Oregon,husband,45,72000
155121,Oregon,wife,43,0
155692,Washington,husband,84,164700
155692,Washington,wife,80,8300
156672,Washington,husband,56,175000
156672,Washington,wife,53,24800
157011,Oregon,husband,43,132000
157011,Oregon,wife,42,0
157210,Washington,husband,50,23000
157210,Washington,wife,49,20000
159677,Oregon,husband,48,90000
159677,Oregon,wife,47,9000
159998,Oregon,husband,79,32100
159998,Oregon,wife,68,0
160173,Washington,husband,48,110000
160173,Washington,wife,32,7800
160254,Washington,husband,38,140000
160254,Washington,wife,36,18000
160300,Washington,husband,81,34300
160300,Washington,wife,80,17300
161009,Oregon,husband,85,87000
161009,Oregon,wife,80,14400
161081,Oregon,husband,73,6100
161081,Oregon,wife,69,9300
161474,Oregon,husband,69,56400
161474,Oregon,wife,67,28700
161920,Washington,husband,56,165000
161920,Washington,wife,56,0
162941,Washington,husband,40,68000
162941,Washington,wife,39,0
163252,Oregon,husband,27,19000
163252,Oregon,wife,26,22000
163932,Washington,husband,64,24000
163932,Washington,wife,56,13000
164740,Washington,husband,32,89620
164740,Washington,wife,30,0
165607,Oregon,husband,62,115000
165607,Oregon,wife,69,6000
167016,Washington,husband,48,68000
167016,Washington,wife,49,27100
167461,Oregon,husband,44,95000
167461,Oregon,wife,41,55000
167595,Washington,husband,61,55000
167595,Washington,wife,61,16000
167718,Washington,husband,61,0
167718,Washington,wife,59,22000
169280,Washington,husband,68,32000
169280,Washington,wife,68,9000
169709,Washington,husband,46,125060
169709,Washington,wife,47,60
171466,Washington,husband,73,23500
171466,Washington,wife,70,21500
171531,Washington,husband,64,80000
171531,Washington,wife,66,29500
173607,Oregon,husband,66,13900
173607,Oregon,wife,58,34200
175364,Oregon,husband,68,23600
175364,Oregon,wife,60,15200
175682,Washington,husband,53,50000
175682,Washington,wife,57,40000
176537,Washington,husband,42,110000
176537,Washington,wife,34,75050
177342,Oregon,husband,85,20500
177342,Oregon,wife,83,17300
177821,Oregon,husband,54,48000
177821,Oregon,wife,57,0
177958,Oregon,husband,65,206600
177958,Oregon,wife,66,0
181323,Washington,husband,55,485000
181323,Washington,wife,54,0
181762,Oregon,husband,59,95000
181762,Oregon,wife,56,0
182150,Oregon,husband,77,30400
182150,Oregon,wife,66,68900
184372,Oregon,husband,52,15000
184372,Oregon,wife,50,12000
184434,Washington,husband,52,80000
184434,Washington,wife,47,467000
187662,Oregon,husband,44,32400
187662,Oregon,wife,39,0
188344,Washington,husband,59,39300
188344,Washington,wife,58,28750
189959,Oregon,husband,50,125000
189959,Oregon,wife,50,15000
190196,Washington,husband,44,100000
190196,Washington,wife,46,42000
190313,Oregon,husband,42,6000
190313,Oregon,wife,43,53000
191150,Washington,husband,37,50000
191150,Washington,wife,37,14000
191245,Oregon,husband,62,101000
191245,Oregon,wife,57,46000
192161,Oregon,husband,36,21800
192161,Oregon,wife,34,54000
192199,Washington,husband,53,100000
192199,Washington,wife,50,14000
192624,Oregon,husband,46,6000
192624,Oregon,wife,45,12000
192848,Washington,husband,77,40000
192848,Washington,wife,56,114000
193835,Washington,husband,73,29800
193835,Washington,wife,68,30800
195699,Oregon,husband,47,92070
195699,Oregon,wife,47,1400
196371,Oregon,husband,37,61000
196371,Oregon,wife,26,0
196852,Washington,husband,31,62000
196852,Washington,wife,28,47000
197898,Washington,husband,38,145000
197898,Washington,wife,37,3500
197958,Washington,husband,55,89000
197958,Washington,wife,54,35100
198962,Oregon,husband,71,1700
198962,Oregon,wife,67,9900
201389,Oregon,husband,68,74000
201389,Oregon,wife,64,22000
202227,Washington,husband,79,19000
202227,Washington,wife,79,12500
205599,Oregon,husband,73,89000
205599,Oregon,wife,62,10
205681,Washington,husband,52,38000
205681,Washington,wife,50,72000
206448,Oregon,husband,64,29000
206448,Oregon,wife,60,300
207616,Oregon,husband,29,25000
207616,Oregon,wife,26,25000
207618,Oregon,husband,48,0
207618,Oregon,wife,48,14700
208719,Washington,husband,31,100000
208719,Washington,wife,30,50000
213130,Oregon,husband,36,57000
213130,Oregon,wife,35,10400
215051,Washington,husband,76,27200
215051,Washington,wife,74,12100
215914,Washington,husband,64,77000
215914,Washington,wife,58,76000
215988,Oregon,husband,50,180000
215988,Oregon,wife,40,79000
217280,Washington,husband,78,2700
217280,Washington,wife,74,2800
217413,Oregon,husband,72,39400
217413,Oregon,wife,58,9000
217649,Oregon,husband,44,40500
217649,Oregon,wife,43,62000
218545,Oregon,husband,37,13000
218545,Oregon,wife,38,18000
219074,Oregon,husband,74,53600
219074,Oregon,wife,66,70000
220116,Washington,husband,60,50000
220116,Washington,wife,57,42000
220237,Oregon,husband,69,9200
220237,Oregon,wife,71,9900
220318,Washington,husband,52,10000
220318,Washington,wife,52,0
220378,Oregon,husband,71,40400
220378,Oregon,wife,61,10900
221332,Washington,husband,82,179100
221332,Washington,wife,81,0
221410,Oregon,husband,72,95200
221410,Oregon,wife,70,14600
221582,Washington,husband,69,88600
221582,Washington,wife,61,0
222550,Washington,husband,77,18700
222550,Washington,wife,77,28300
222942,Oregon,husband,42,62000
222942,Oregon,wife,42,95000
222989,Washington,husband,78,66000
222989,Washington,wife,87,20100
223093,Washington,husband,65,64400
223093,Washington,wife,65,18000
223234,Washington,husband,58,110000
223234,Washington,wife,55,0
223670,Washington,husband,79,0
223670,Washington,wife,72,24700
223711,Washington,husband,80,60000
223711,Washington,wife,69,2100
224571,Washington,husband,69,9200
224571,Washington,wife,61,23600
225287,Washington,husband,59,0
225287,Washington,wife,57,0
225738,Washington,husband,44,125000
225738,Washington,wife,46,125000
227236,Oregon,husband,65,60000
227236,Oregon,wife,59,7000
227268,Washington,husband,35,111200
227268,Washington,wife,35,72200
228807,Washington,husband,64,39000
228807,Washington,wife,59,113000
229612,Oregon,husband,28,38000
229612,Oregon,wife,23,10000
230687,Oregon,husband,61,413500
230687,Oregon,wife,44,125000
230712,Washington,husband,73,30400
230712,Washington,wife,71,11400
231895,Washington,husband,59,69000
231895,Washington,wife,58,29000
232883,Washington,husband,74,55100
232883,Washington,wife,65,71680
233580,Oregon,husband,61,38400
233580,Oregon,wife,55,61000
234033,Oregon,husband,51,95000
234033,Oregon,wife,40,35000
234531,Oregon,husband,50,52000
234531,Oregon,wife,36,48000
238606,Washington,husband,38,42000
238606,Washington,wife,35,64020
240014,Oregon,husband,70,42800
240014,Oregon,wife,59,30000
242988,Oregon,husband,56,117000
242988,Oregon,wife,55,33000
243396,Oregon,husband,76,20500
243396,Oregon,wife,74,8100
243572,Oregon,husband,38,2200
243572,Oregon,wife,37,68000
243705,Oregon,husband,35,32000
243705,Oregon,wife,35,8000
243764,Washington,husband,47,60000
243764,Washington,wife,58,12000
244174,Washington,husband,72,37200
244174,Washington,wife,70,39200
244341,Washington,husband,70,57100
244341,Washington,wife,70,33020
245218,Oregon,husband,78,134000
245218,Oregon,wife,77,8500
245793,Oregon,husband,36,90000
245793,Oregon,wife,34,2600
247959,Washington,husband,50,36000
247959,Washington,wife,42,350
247992,Oregon,husband,64,104000
247992,Oregon,wife,62,0
250501,Washington,husband,33,63600
250501,Washington,wife,31,0
250517,Washington,husband,70,18700
250517,Washington,wife,69,34800
251542,Washington,husband,57,127080
251542,Washington,wife,57,32000
252196,Oregon,husband,31,41200
252196,Oregon,wife,34,29500
255430,Oregon,husband,52,60000
255430,Oregon,wife,47,39600
255731,Oregon,husband,65,15500
255731,Oregon,wife,59,37700
